Sl. No,Item Description,Part No,Qty,Value,PPL Status (A/B/C/ Non PPL/NA)
61,AlphaItem061,Fashion,235.7,28,active
62,AlphaItem062,Groceries,239.4,35,active
63,AlphaItem063,Hardware,243.1,42,active
64,AlphaItem064,Books,246.8,49,active
65,AlphaItem065,Electronics,250.5,6,active
66,AlphaItem066,Fashion,254.2,13,active
67,AlphaItem067,Groceries,257.9,20,active
68,AlphaItem068,Hardware,261.6,27,active
69,AlphaItem069,Books,265.3,34,active
70,AlphaItem070,Electronics,269,41,active
71,AlphaItem071,Fashion,272.7,48,active
72,AlphaItem072,Groceries,276.4,5,active
73,AlphaItem073,Hardware,280.1,12,active
74,AlphaItem074,Books,283.8,19,active
75,AlphaItem075,Electronics,287.5,26,active
76,AlphaItem076,Fashion,291.2,33,active
77,AlphaItem077,Groceries,294.9,40,active
78,AlphaItem078,Hardware,298.6,47,active
79,AlphaItem079,Books,302.3,4,active
80,AlphaItem080,Electronics,306,11,active
81,AlphaItem081,Fashion,309.7,18,active
82,AlphaItem082,Groceries,313.4,25,active
83,AlphaItem083,Hardware,317.1,32,active
84,AlphaItem084,Books,320.8,39,active
85,AlphaItem085,Electronics,324.5,46,active
86,AlphaItem086,Fashion,328.2,3,active
87,AlphaItem087,Groceries,331.9,10,active
88,AlphaItem088,Hardware,335.6,17,active
89,AlphaItem089,Books,339.3,24,active
90,AlphaItem090,Electronics,343,31,active
91,AlphaItem091,Fashion,346.7,38,active
92,AlphaItem092,Groceries,350.4,45,active
93,AlphaItem093,Hardware,354.1,2,active
94,AlphaItem094,Books,357.8,9,active
95,AlphaItem095,Electronics,361.5,16,active
96,AlphaItem096,Fashion,365.2,23,active
97,AlphaItem097,Groceries,368.9,30,active
98,AlphaItem098,Hardware,372.6,37,active
99,AlphaItem099,Books,376.3,44,active
100,AlphaItem100,Electronics,380,1,active
